"IRD_ID","IRD_VEH_ID","IRD_TRIP_ID","IRD_DEV_START_AT","IRD_DEV_END_AT","IRD_DEV_START_LOC","IRD_DEV_START_CITY","IRD_DEV_START_DIS","IRD_DEV_START_STATE","IRD_DEV_END_LOC","IRD_DEV_END_CITY","IRD_DEV_END_DIS","IRD_DEV_END_STATE","IRD_DEV_DUR_IN_MINS","IRD_DEV_CREATED_AT","IRD_DEV_CREATED_BY","IRD_DEV_UPDATED_AT","IRD_DEV_UPDATED_BY","IRD_DEV_MSG","IRD_IS_DONE","IS_CHECKED"
160812,"2028","0682067930","2015-10-09 09:20:44","2015-10-09 09:26:35","0.14 Km. NW From PANIPAT TOP","Gharaunda"," Panipat","Haryana","0.07 Km. SW From SHIVSHANKAR FILLING STATION","Gharaunda"," Panipat","Haryana",5,"2015-10-09 12:42:08","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160811,"7752","0682067409","2015-10-09 08:50:14","2015-10-09 09:01:36","0.06 Km. NW From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.11 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",11,"2015-10-09 12:41:14","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160810,"4248","0682066719","2015-10-09 08:28:23","2015-10-09 08:34:14","0.06 Km. NW From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.16 Km. NW From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",5,"2015-10-09 12:40:16","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160809,"5313","0682067753","2015-10-09 09:50:50","2015-10-09 10:24:44","0.05 Km. E From Al Ameen Residential School","Hosakote"," Bangalore (Rural)","Karnataka","0.03 Km.  N From Masjid-E- Noor , B Narayanapura",", B Narayanapura;"," -E- Noor ,","E- Noor , B Narayanapura;Banglore,Banglore-Karnataka",33,"2015-10-09 12:36:26","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160808,"2976","0682067742","2015-10-09 09:26:06","2015-10-09 09:38:38","0.08 Km. N From PARTAPUR DEPOT","Meerut"," Meerut","Uttar Pradesh","0.08 Km. N From PARTAPUR DEPOT","Meerut"," Meerut","Uttar Pradesh",12,"2015-10-09 12:35:26","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160807,"2894","0682067904","2015-10-09 11:48:41","2015-10-09 12:11:31","0.19 Km. NW From Shree Laxmi","Ghaziabad"," Ghaziabad","Uttar Pradesh","0.17 Km. SE From Garson Letterman Group","Ghaziabad"," Ghaziabad","Uttar Pradesh",22,"2015-10-09 12:34:19","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160806,"2894","0682067904","2015-10-09 09:32:44","2015-10-09 09:38:16","0.26 Km. N From MEERUT TERMINAL TT EXIT GATE","Meerut"," Meerut","Uttar Pradesh","0.22 Km. N From MEERUT TERMINAL TT EXIT GATE","Meerut"," Meerut","Uttar Pradesh",5,"2015-10-09 12:34:10","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160805,"3547","0682066988","2015-10-09 12:06:30","2015-10-09 12:12:12","0.07 Km. NE From State Bank Of India ATM","Jagadhri"," Yamunanagar","Haryana","0.02 Km. S From Shiv Mandir","Jagadhri"," Yamunanagar","Haryana",5,"2015-10-09 12:30:10","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160804,"480","0682067373","2015-10-09 08:57:06","2015-10-09 09:02:36","0.11 Km. S From TT Parking Area-Baitalpur Depot","Deoria"," -Baitalpur Depot;Deoria,","Baitalpur Depot;Deoria,Deoria-Uttar Pradesh","0.11 Km. S From TT Parking Area-Baitalpur Depot","Deoria"," -Baitalpur Depot;Deoria,","Baitalpur Depot;Deoria,Deoria-Uttar Pradesh",5,"2015-10-09 12:28:56","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160803,"6628","0682067663","2015-10-09 11:58:37","2015-10-09 12:05:38","0.07 Km. S From Changali Wala","Jagadhri"," Yamunanagar","Haryana","0.10 Km. NW From Reliance Petroleum Petrol Pump","Jagadhri"," Yamunanagar","Haryana",7,"2015-10-09 12:24:04","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
