CAVL_SERV_PROVIDER|TRIP NO|Carrier No|TYPE OF CLOSURE|CLOSURE LOCATION|CLOSURE DATE & TIME|TOTAL TRIP DISTANCE|TOTAL DELIVERY TIME|TOTAL STOPPAGE TIME|STOPPAGE AT TOLLS|STOPPAGE AT SATE BORDER|STOPPAGE AT DEALER|Harsh Braking instances|Over speeding Instances|Night Driving Instances (2:00 AM to 5:00 AM)|DAY0|DAY1|DAY2|DAY3|DAY4|DAY5|DAY6|DAY7|DAY8|DAY9|DAY10|DAY11|DAY12|DAY13|DAY14|DAY15|DAY16|DAY17|DAY18|DAY19|DAY20
EFKON|4595463|HR55H8413|P|TARA AUTOMOBILES-TALWANDI SABO|17-Aug-2015 06:05|||86:10:24||3:39:21||1|3|2|45|0|37|282|222||||||||||||||||
EFKON|1116901|HR55H8940|A|SRIVATSA INTERNATIONAL|17-Aug-2015 04:05|734|51:44:45|34:24:6||||1|15|1|140|464|130||||||||||||||||||
EFKON|1116956|HR55H9115|A|SREE SARADHAMBAL AUTO-NAMAKKAL|17-Aug-2015 10:56|308|54:33:13|47:10:35||||0|11|0|139|94|75||||||||||||||||||
EFKON|1116956|HR55H9115|A|SKCARS-SALEM|17-Aug-2015 00:45|253|44:22:31|38:19:35||||0|11|0|139|94|20||||||||||||||||||
EFKON|4594795|HR55J4740|A|JAYALAKSHMI AUTOMOTIVES-GUNTUR|17-Aug-2015 18:01|2264|118:9:32|61:16:1|1:11:25|6:24:38||0|17|3|0|157|549|619|565|375|||||||||||||||
EFKON|4594776|HR55J4740|A|JAYALAKSHMI AUTOMOTIVES-GUNTUR|17-Aug-2015 18:01|2264|118:24:32|61:16:1|1:11:25|6:24:38||0|17|3|0|157|549|619|565|375|||||||||||||||
EFKON|4597855|HR55J5575|A|RKBK AUTOMOBILES-GORAKHPUR|17-Aug-2015 09:59|892|80:42:29|54:28:18||||0|10|1|22|61|523|286|||||||||||||||||
EFKON|4593006|HR55J7444|A|SHIVAM AUTOZONE-MUMBAI|17-Aug-2015 07:13|1360|134:31:28|98:14:44|0:5:0|6:36:24||0|5|1|4|32|490|352|172|233|77||||||||||||||
EFKON|4593006|HR55J7444|A|NAVNIT MOTORS-BHIWANDI|17-Aug-2015 07:38|1372|134:56:29|98:14:57|0:5:0|6:36:24||0|5|1|4|32|490|352|172|233|88||||||||||||||
EFKON|4592894|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
EFKON|4592896|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
EFKON|4592899|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
EFKON|4592897|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
EFKON|4592898|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
EFKON|4592895|HR55J9340|A|VISHNU CARS-CHENNAI|17-Aug-2015 18:15|2199|145:52:39|83:33:12|0:52:34|1:25:5||12|13|0|50|48|402|526|437|357|379||||||||||||||
