Service Provider|Creation Date|VEHICLE NO|TRANSPORTER CODE|PLANT NAME|TIME IN|TIME OUT|TITO
EFKON|18-Aug-2015 14:53|HR55N8465|T235|GURGAON|18-Aug-2015 01:30|18-Aug-2015 02:48|1:18:25
EFKON|18-Aug-2015 14:36|KA424979|T235|GURGAON|18-Aug-2015 02:58|18-Aug-2015 04:22|1:24:28
EFKON|18-Aug-2015 14:48|OR06J1150|T235|MANESAR|17-Aug-2015 23:26|18-Aug-2015 02:20|2:53:26
EFKON|18-Aug-2015 14:52|HR55J9594|T250|MANESAR|17-Aug-2015 10:17|17-Aug-2015 13:26|3:9:10
EFKON|18-Aug-2015 14:34|HR55K5682|T250|GURGAON|17-Aug-2015 23:03|18-Aug-2015 01:35|2:31:33
EFKON|18-Aug-2015 14:37|HR55P2979|T025|MANESAR|17-Aug-2015 22:52|17-Aug-2015 23:36|0:44:30
EFKON|18-Aug-2015 14:37|HR55P2979|T025|MANESAR|18-Aug-2015 03:04|18-Aug-2015 04:25|1:20:39
EFKON|18-Aug-2015 14:41|NL01L8723|T025|MANESAR|17-Aug-2015 22:08|17-Aug-2015 23:20|1:11:48
EFKON|18-Aug-2015 14:41|NL01L8723|T025|MANESAR|18-Aug-2015 02:51|18-Aug-2015 04:24|1:32:33
EFKON|18-Aug-2015 14:33|NL01L8727|T025|MANESAR|18-Aug-2015 00:30|18-Aug-2015 01:25|0:55:11
EFKON|18-Aug-2015 14:33|NL01L8727|T025|MANESAR|18-Aug-2015 04:41|18-Aug-2015 05:54|1:12:41
EFKON|18-Aug-2015 14:44|NL01L8803|T025|MANESAR|17-Aug-2015 21:54|18-Aug-2015 02:07|4:13:22
EFKON|18-Aug-2015 14:44|NL01L8803|T025|MANESAR|18-Aug-2015 04:37|18-Aug-2015 05:50|1:12:54
EFKON|18-Aug-2015 14:40|HR55L2688|T059|GURGAON|17-Aug-2015 11:24|17-Aug-2015 12:06|0:41:37
EFKON|18-Aug-2015 14:41|HR55L4033|T059|MANESAR|17-Aug-2015 17:58|17-Aug-2015 18:49|0:51:31
EFKON|18-Aug-2015 14:41|HR55L4033|T059|MANESAR|17-Aug-2015 20:24|17-Aug-2015 20:51|0:27:52
EFKON|18-Aug-2015 14:48|HR55M1713|T059|MANESAR|17-Aug-2015 16:58|17-Aug-2015 18:10|1:11:57
EFKON|18-Aug-2015 14:45|HR55M1811|T059|GURGAON|17-Aug-2015 11:59|17-Aug-2015 13:11|1:12:33
EFKON|18-Aug-2015 14:46|HR55Q1339|T059|MANESAR|17-Aug-2015 17:50|17-Aug-2015 18:09|0:19:41
EFKON|18-Aug-2015 14:46|HR55Q1346|T059|MANESAR|18-Aug-2015 02:00|18-Aug-2015 07:59|5:58:41
EFKON|18-Aug-2015 14:34|HR55Q1353|T059|GURGAON|17-Aug-2015 11:46|17-Aug-2015 12:37|0:50:59
EFKON|18-Aug-2015 14:32|HR55Q1730|T059|GURGAON|17-Aug-2015 12:14|17-Aug-2015 12:50|0:36:1
EFKON|18-Aug-2015 14:32|HR55Q1732|T059|GURGAON|17-Aug-2015 11:41|17-Aug-2015 12:19|0:37:49
EFKON|18-Aug-2015 14:43|HR55Q1735|T059|GURGAON|17-Aug-2015 13:14|17-Aug-2015 14:05|0:50:49
EFKON|18-Aug-2015 14:42|HR55Q1736|T059|MANESAR|17-Aug-2015 17:48|17-Aug-2015 18:58|1:9:54
EFKON|18-Aug-2015 14:42|HR55Q1736|T059|MANESAR|17-Aug-2015 20:19|17-Aug-2015 21:06|0:46:41
EFKON|18-Aug-2015 14:42|HR55Q1736|T059|GURGAON|18-Aug-2015 04:52|18-Aug-2015 05:51|0:58:46
EFKON|18-Aug-2015 14:33|HR55Q5829|T059|MANESAR|17-Aug-2015 17:46|17-Aug-2015 20:45|2:58:36
EFKON|18-Aug-2015 14:33|HR55Q5829|T059|GURGAON|18-Aug-2015 03:56|18-Aug-2015 04:53|0:56:52
EFKON|18-Aug-2015 14:54|HR55Q6067|T059|GURGAON|17-Aug-2015 12:12|17-Aug-2015 13:01|0:49:9
EFKON|18-Aug-2015 14:43|HR55R8940|T059|GURGAON|17-Aug-2015 12:04|17-Aug-2015 13:02|0:58:39
EFKON|18-Aug-2015 14:46|HR55R8941|T059|GURGAON|17-Aug-2015 11:22|17-Aug-2015 12:04|0:42:32
EFKON|18-Aug-2015 14:45|HR55R8942|T059|MANESAR|17-Aug-2015 20:45|17-Aug-2015 21:43|0:57:54
EFKON|18-Aug-2015 14:45|HR55R8942|T059|GURGAON|18-Aug-2015 03:52|18-Aug-2015 04:41|0:49:8
EFKON|18-Aug-2015 14:33|HR55T6803|T059|MANESAR|17-Aug-2015 20:51|17-Aug-2015 21:30|0:38:39
EFKON|18-Aug-2015 14:33|HR55T6803|T059|GURGAON|18-Aug-2015 02:19|18-Aug-2015 02:43|0:23:29
EFKON|18-Aug-2015 14:34|HR55T7452|T059|MANESAR|17-Aug-2015 16:00|17-Aug-2015 20:45|4:44:34
EFKON|18-Aug-2015 14:34|HR55T7452|T059|GURGAON|18-Aug-2015 04:42|18-Aug-2015 05:40|0:58:19
EFKON|18-Aug-2015 14:41|HR55U5356|T059|GURGAON|17-Aug-2015 11:39|17-Aug-2015 12:31|0:51:40
EFKON|18-Aug-2015 14:44|HR55U5818|T059|MANESAR|17-Aug-2015 19:58|17-Aug-2015 21:44|1:46:40
EFKON|18-Aug-2015 14:37|HR55U7069|T059|GURGAON|17-Aug-2015 11:49|17-Aug-2015 12:29|0:39:41
EFKON|18-Aug-2015 14:50|HR55V0256|T059|MANESAR|17-Aug-2015 17:48|17-Aug-2015 20:44|2:55:57
EFKON|18-Aug-2015 14:34|HR55V2850|T059|GURGAON|17-Aug-2015 11:43|17-Aug-2015 12:24|0:41:18
EFKON|18-Aug-2015 14:33|HR55V5253|T059|MANESAR|17-Aug-2015 19:29|17-Aug-2015 20:00|0:30:53
EFKON|18-Aug-2015 14:33|HR55V5253|T059|GURGAON|18-Aug-2015 03:55|18-Aug-2015 04:39|0:43:43
EFKON|18-Aug-2015 14:52|HR55V6991|T059|GURGAON|17-Aug-2015 11:42|17-Aug-2015 12:31|0:48:45
EFKON|18-Aug-2015 14:46|HR55V6992|T059|MANESAR|17-Aug-2015 20:45|17-Aug-2015 23:14|2:29:17
EFKON|18-Aug-2015 14:36|HR55V7828|T059|GURGAON|17-Aug-2015 11:39|17-Aug-2015 12:47|1:7:14
EFKON|18-Aug-2015 14:45|NL01L8256|T280|GURGAON|17-Aug-2015 22:03|17-Aug-2015 23:42|1:38:53
EFKON|18-Aug-2015 14:51|HR38S7963|T282|MANESAR|18-Aug-2015 00:40|18-Aug-2015 02:01|1:20:51
EFKON|18-Aug-2015 14:33|HR38S9641|T282|MANESAR|17-Aug-2015 21:50|17-Aug-2015 23:48|1:57:23
EFKON|18-Aug-2015 14:40|HR55K1801|T282|MANESAR|17-Aug-2015 23:20|18-Aug-2015 00:30|1:9:27
EFKON|18-Aug-2015 14:36|HR55N3623|T282|MANESAR|18-Aug-2015 01:19|18-Aug-2015 02:25|1:6:0
EFKON|18-Aug-2015 14:34|HR55U8933|T282|MANESAR|17-Aug-2015 08:00|17-Aug-2015 11:03|3:2:53
EFKON|18-Aug-2015 14:40|HR55U9659|T282|GURGAON|17-Aug-2015 14:51|17-Aug-2015 15:53|1:2:2
EFKON|18-Aug-2015 14:42|HR55M7671|T283|MANESAR|17-Aug-2015 21:10|17-Aug-2015 23:37|2:27:36
EFKON|18-Aug-2015 14:49|HR55N3207|T283|MANESAR|17-Aug-2015 21:52|18-Aug-2015 00:13|2:20:3
EFKON|18-Aug-2015 14:43|HR55J4585|T284|GURGAON|18-Aug-2015 00:30|18-Aug-2015 02:43|2:13:10
EFKON|18-Aug-2015 14:44|HR55J5606|T284|MANESAR|17-Aug-2015 18:32|17-Aug-2015 19:54|1:21:38
EFKON|18-Aug-2015 14:54|HR55J5618|T284|GURGAON|17-Aug-2015 13:08|17-Aug-2015 15:39|2:31:5
EFKON|18-Aug-2015 14:50|HR55M7620|T284|MANESAR|17-Aug-2015 21:04|17-Aug-2015 21:25|0:21:49
EFKON|18-Aug-2015 14:42|HR55U1735|T284|MANESAR|17-Aug-2015 21:24|17-Aug-2015 23:23|1:58:48
