S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
2470,EEB1500212,7506928527,OL001/02600,16-May-12,HR55J5873,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2471,QCQ1203741,8879678381,OL001/02601,16-May-12,HR55L4801,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2472,QCQ1102237,8879613604,OL001/02602,16-May-12,HR55N1454,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2473,QCQ1101882,8879613243,OL001/02604,16-May-12,HR55J5608,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2474,QCQ1102792,8879614167,OL001/02605,16-May-12,HR55N3624,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2475,QCQ1204002,8879678745,OL001/02606,16-May-12,HR55M6332,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2476,QCQ1204293,8879645866,OL001/02607,16-May-12,KA41A2405,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2477,QCQ1101209,8879612560,OL001/02608,16-May-12,RJ14GE1779,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2478,QCQ1305978,9440685840,OL001/02609,16-May-12,KA41A2418,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2479,QCQ1103292,8879677926,OL001/02610,16-May-12,KA41A1261,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2480,QCQ1203503,8879697440,OL001/02611,16-May-12,NL01K3833,JAINEXPARIVAHAN,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2481,QCQ1204910,8879697458,OL001/02613,16-May-12,HR55H4865,AHMEDABADROADWAYSAHMEDABAD,R,R,R,P,P,P,P,P,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,4,27,0,0,0,0,YES,
2482,QCQ1204604,8879676748,OL001/02614,16-May-12,NL01K3644,JAINEXPARIVAHAN,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2483,QCQ1204076,8879678822,OL001/02615,17-May-12,RJ14GE1419,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2484,QCQ1100760,8451812606,OL001/02616,17-May-12,KA41A1661,VRLLOGISTICSLTD.,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,0,0,0,6,6,YES,
2485,QCQ1103333,8879677967,OL001/02617,17-May-12,HR55M3576,DELHIGUJARATFLEETCARRIER,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
2486,QCQ1101690,8879613048,OL001/02618,17-May-12,NL01G8637,ARVINDROADCARRIERSPVT.LTD.,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,5,26,0,0,0,0,YES,
2487,QCQ1203976,8879676794,OL001/02619,17-May-12,NL01K3622,JAINEXPARIVAHAN,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2488,QCQ1204338,8452983386,OL001/02620,17-May-12,HR55M9309,ARVINDROADCARRIERSPVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2489,QCQ1203798,8879678439,OL001/02621,17-May-12,HR55L3890,CARGOMOTORSPVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2490,QCQ1101573,8879678107,OL001/02622,17-May-12,OR07Y9824,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2491,QCQ1103158,8879618810,OL001/02623,17-May-12,HR55M1964,ESHANNLOGISTICS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2492,QCQ1102084,8879613448,OL001/02624,17-May-12,HR55K1803,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2493,QCQ1203727,8879678367,OL001/02625,17-May-12,KA41A1992,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2494,QCQ1102528,8879613899,OL001/02626,17-May-12,KA01AA0752,MERCURIOPALLIALOGISTICSPVTLTD,R,R,N,N,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,23,0,0,0,8,8,YES,
2495,QCQ1203589,8879678228,OL001/02627,17-May-12,OR07Z5082,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2496,QCQ1101681,8879613039,OL001/02628,17-May-12,KA41A2141,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2497,QCQ1102214,8879613580,OL001/02629,17-May-12,HR55M7674,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2498,QCQ1203765,8879678406,OL001/02630,17-May-12,HR55N3622,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2499,QCQ1100059,8879460291,OL001/02632,17-May-12,HR55L3258,AHMEDABADROADWAYSAHMEDABAD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2500,QCQ1203788,8879678429,OL001/02633,17-May-12,OR07Z5182,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2501,QCQ1203705,8879678345,OL001/02634,17-May-12,KA41A1481,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2502,QCQ1204521,8879676920,OL001/02636,17-May-12,KA41A2110,VRLLOGISTICSLTD.,R,UI,UI,UI,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,22,0,0,9,0,9,YES,
2503,QCQ1101350,8879787710,OL001/02637,17-May-12,KA41A1484,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
