S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
1,QCQ1101465,8879612821,OL001/00003,21-Oct-11,OR07W3522,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2,QCQ1100023,8879460073,OL001/00023,21-Oct-11,OR07W3519,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
3,QCQ1102451,8879613822,OL001/00002,22-Oct-11,HR55J2032,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
4,QCQ1204230,8879645802,OL001/00004,22-Oct-11,OR07W0882,BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
5,QCQ1100055,8879460287,OL001/00005,24-Oct-11,HR38M4203,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
6,QCQ1100549,8879442437,OL001/00006,24-Oct-11,NL02G0152,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
7,QCQ1101737,8879613095,OL001/00007,24-Oct-11,RJ14GB0637,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
8,QCQ1100564,8879442452,OL001/00008,24-Oct-11,HR55K1810,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
9,QCQ1101429,8879612783,OL001/00009,24-Oct-11,RJ14GD4213,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,0,0,6,0,6,YES,
10,QCQ1102783,8879614158,OL001/00010,24-Oct-11,HR38M5670,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
11,QCQ1100019,8879460069,OL001/00011,25-Oct-11,NL01G4582,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
12,QCQ1101494,8879612850,OL001/00012,25-Oct-11,RJ25GA2244,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
13,QCQ1100025,8879460075,OL001/00013,29-Oct-11,NL01G4767,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
14,QCQ1100235,8879460118,OL001/00014,29-Oct-11,RJ14GD4268,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,P,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,3,0,0,0,0,YES,
15,QCQ1204280,8879678593,OL001/00015,29-Oct-11,RJ14GD4270,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
16,QCQ1101769,8879613128,OL001/00016,29-Oct-11,RJ29GA0992,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
17,QCQ1204472,8879690473,OL001/00017,31-Oct-11,HR38P5466,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
18,EEB1500213,7506928454,OL001/00018,1-Nov-11,OR07W3520,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
19,QCQ1100083,8879460135,OL001/00019,2-Nov-11,HR38M3438,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
20,QCQ1204349,8879690349,OL001/00020,2-Nov-11,HR38M5085,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
21,QCQ1100074,8879460177,OL001/00021,2-Nov-11,RJ25GA2246,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
22,QCQ1102854,8879614230,OL001/00022,2-Nov-11,NL01D5085,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,19,0,0,12,0,12,NO,
23,QCQ1100108,8879460092,OL001/00024,3-Nov-11,OR07X3105,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
24,QCQ1103457,8879678094,OL001/00025,3-Nov-11,RJ14GB2133,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
25,QCQ1103114,8879618764,OL001/00026,4-Nov-11,RJ14GF7884,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
26,QCQ1100085,8879460137,OL001/00027,4-Nov-11,RJ14GF2598,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
27,QCQ1102752,8879614126,OL001/00028,4-Nov-11,RJ14GF2602,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
28,QCQ1203927,8879678569,OL001/00029,4-Nov-11,RJ14GD2790,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
29,QCQ1102299,8879613667,OL001/00030,4-Nov-11,HR55J5613,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
30,QCQ1204576,8879676975,OL001/00031,5-Nov-11,NL01G6616,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
31,QCQ1101402,8879612756,OL001/00032,5-Nov-11,HR38P5462,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
32,QCQ1100657,8879678894,OL001/00034,8-Nov-11,NL01G6622,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
33,QCQ1204717,8879442393,OL001/00035,8-Nov-11,HR55M1618,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
34,QCQ1101454,7506449477,OL001/00036,9-Nov-11,HR55L2503,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
35,QCQ1103138,8879618789,OL001/00037,9-Nov-11,HR55L3074,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
36,QCQ1102341,8879787688,OL001/00038,9-Nov-11,NL02G7590,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,6,25,0,0,0,0,YES,
37,QCQ1103338,8879690485,OL001/00039,9-Nov-11,NL02G1538,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,1,1,YES,
38,QCQ1100170,8879460223,OL001/00040,9-Nov-11,NL01G4727,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
39,QCQ1204986,7506449442,OL001/00041,9-Nov-11,RJ14GC9586,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
40,QCQ1100586,8879442602,OL001/00042,9-Nov-11,RJ14GB1302,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,9,22,0,0,0,0,YES,
41,QCQ1101310,8879612663,OL001/00043,10-Nov-11,HR55L2501,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,3,28,0,0,0,0,YES,
42,QCQ1203603,8879678242,OL001/00044,10-Nov-11,MH43E8317,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
43,QCQ1100193,8879460246,OL001/00045,10-Nov-11,HR55K1213,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
44,EEB1500373,9930508246,OL001/00046,10-Nov-11,HR55F9174,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
45,QCQ1103057,8879618707,OL001/00047,10-Nov-11,HR38N7722,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
46,EEB1500051,7506928681,OL001/00048,10-Nov-11,RJ29GA0998,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
47,QCQ1103409 ,8879613038,OL001/00049,10-Nov-11,NL01L8648,SUSHILATRANSPORTPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
48,QCQ1100163,8879460216,OL001/00050,10-Nov-11,NL01D5141,BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
49,QCQ1100191,8879460244,OL001/00051,10-Nov-11,HR55K2860,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
50,QCQ1101144,8879612494,OL001/00052,10-Nov-11,NL01K0637,SUSHILATRANSPORTPVT.LTD,R,R,R,P,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,2,0,0,0,0,YES,
51,QCQ1102432,,OL001/00053,10-Nov-11,NL01K0659,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
52,QCQ1102625,8879613997,OL001/00054,11-Nov-11,NL01G7395,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
53,QCQ1103208,8879677828,OL001/00055,11-Nov-11,HR55L0234,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
54,EEB1500342,7506932906,OL001/00056,11-Nov-11,NL01G7097,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
55,EEB1500465,7506730967,OL001/00057,11-Nov-11,HR55F8050,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
56,QCQ1102262,8879613630,OL001/00058,11-Nov-11,RJ25GA2241,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
57,QCQ1204538,8879676937,OL001/00059,11-Nov-11,HR38M3402,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
58,QCQ1100219,8879460146,OL001/00060,11-Nov-11,HR55L2167,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
59,QCQ1204761,8879697884,OL001/00061,11-Nov-11,NL01D5614,BHARATCARRIERSLTD,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,21,0,0,10,0,10,YES,
60,QCQ1204894,8452985440,OL001/00062,11-Nov-11,OR07W3263,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
61,QCQ1100212,8879460117,OL001/00063,11-Nov-11,OR05AA7412,BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
62,QCQ1102213,8879613579,OL001/00064,12-Nov-11,RJ25GA2345,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,29,0,0,2,0,2,YES,
63,QCQ1203828,8879678469,OL001/00065,22-Dec-11,HR55C1977,TVS RHR FINISHED VEHILCES LOGISTICS,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
64,QCQ1101869,8879613230,OL001/00924,4-Jan-12,MH04FU0710,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
65,QCQ1203877,8879678519,OL001/00067,12-Nov-11,HR38N0233,SUSHILATRANSPORTPVT.LTD,P,P,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,3,0,0,0,0,YES,
66,QCQ1204879,8879697431,OL001/00068,12-Nov-11,RJ14GB1993,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
67,QCQ1102684,8879614057,OL001/00069,12-Nov-11,NL02G9005,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
68,QCQ1204919,9444067803,OL001/00070,12-Nov-11,NL02G2590,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
69,QCQ1101935,8879613296,OL001/00071,12-Nov-11,NL01G6621,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
70,QCQ1100198,8879460251,OL001/00072,16-Nov-11,HR55F5405,CARGOWINGS(MADRAS)PVT.LTD.,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,0,0,0,31,0,31,NO,
71,QCQ1101984,8879787672,OL001/01199,14-Jan-12,NL01K5213,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
72,QCQ1102721,8879614094,OL001/00073,18-Nov-11,HR55K5239,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
73,QCQ1100201,8879460124,OL001/00074,18-Nov-11,HR55F5402,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
74,QCQ1100202,8879460255,OL001/00075,19-Nov-11,HR55C3623,CARGOWINGS(MADRAS)PVT.LTD.,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,31,0,0,0,YES,
75,QCQ1203612,8879678251,OL001/00076,19-Nov-11,HR55M1616,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
76,QCQ1100203,8879460084,OL001/00077,19-Nov-11,HR55G9992,CARGOWINGS(MADRAS)PVT.LTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
77,QCQ1100299,8879442173,OL001/00078,19-Nov-11,RJ29GA0994,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
78,QCQ1102588,8879613960,OL001/00079,22-Nov-11,HR55F8049,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
79,QCQ1102476,8879613847,OL001/00080,22-Nov-11,RJ29GA0996,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
80,QCQ1205118,9444067802,OL001/00081,22-Nov-11,HR55L2187,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
81,QCQ1102075,7506449475,OL001/00082,22-Nov-11,NL01G3483,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
82,QCQ1100809,8879442699,OL001/00083,22-Nov-11,OR07W0881,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
83,QCQ1305999,9440685579,OL001/00084,22-Nov-11,NL01D5106,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
84,QCQ1204260,8879645832,OL001/00085,22-Nov-11,HR55D7427,SUSHILATRANSPORTPVT.LTD,P,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2,29,0,0,0,0,YES,
85,QCQ1305942,8879676885,OL001/00087,23-Nov-11,RJ29GA0851,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
86,QCQ1102696,8879679042,OL001/00088,23-Nov-11,RJ14GD2534,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
87,QCQ1100065,8879460297,OL001/00089,23-Nov-11,HR55L7034,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
88,QCQ1100342,8879442218,OL001/00090,23-Nov-11,HR55M6950,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
89,QCQ1100309,8879442183,OL001/00091,23-Nov-11,RJ14GE9784,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
90,QCQ1101884,8879613245,OL001/00092,23-Nov-11,RJ14GE9775,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
91,QCQ1100377,8879442257,OL001/00093,23-Nov-11,HR55L2207,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
92,QCQ1102005,8879613368,OL001/00094,23-Nov-11,HR55M3117,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
93,QCQ1100432,8879442317,OL001/00095,23-Nov-11,OR07W3521,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
94,QCQ1100331,8879442206,OL001/00097,24-Nov-11,HR55L2217,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
95,QCQ1103411,8879678048,OL001/00098,24-Nov-11,RJ14GB0538,SHRIKRSNAURJAPROJECTLIMITED,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
96,QCQ1102976,8879614353,OL001/00099,24-Nov-11,NL01G9825,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
97,QCQ1102523,8879613894,OL001/00100,24-Nov-11,NL01L2785,SUSHILATRANSPORTPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
98,QCQ1205198,8452983257,OL001/00101,24-Nov-11,HR38L2152,SHRIKRSNAURJAPROJECTLIMITED,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
